ID_Cliente,Churn,Gênero,Idoso,Parceiro,Dependentes,MesesContrato,AssinaturaTelefone,MultiplasLinhas,AssinaturaInternet,SegurancaOnline,BackupOnline,ProtecaoDispositivo,SuporteTecnico,StreamingTV,StreamingFilmes,TipoContrato,FaturaOnline,FormaPagamento,Faturamento_Mensal,FaturamentoTotal,Contas_Diarias,Idade_Churn,Status_Cliente
0002-ORFBO,0,Feminino,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,1 ano,Yes,Boleto Correio,65.6,593.3,2.1866666666666665,Menor que 65 anos,Permaneceu
0003-MKNFE,0,Masculino,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Mensal,No,Boleto Correio,59.9,542.4,1.9966666666666666,Menor que 65 anos,Permaneceu
0004-TLHLJ,1,Masculino,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Mensal,Yes,Cheque Eletrônico,73.9,280.85,2.4633333333333334,Igual ou maior que 65 anos,Saiu
0011-IGKFF,1,Masculino,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Cheque Eletrônico,98.0,1237.85,3.2666666666666666,Igual ou maior que 65 anos,Saiu
0013-EXCHZ,1,Feminino,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Mensal,Yes,Boleto Correio,83.9,267.4,2.796666666666667,Igual ou maior que 65 anos,Saiu
0013-MHZWF,0,Feminino,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Mensal,Yes,Cartão de Crédito,69.4,571.45,2.3133333333333335,Menor que 65 anos,Permaneceu
0013-SMEOE,0,Feminino,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Transferência Bancária,109.7,7904.25,3.6566666666666667,Menor que 65 anos,Permaneceu
0014-BMAQU,0,Masculino,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,2 anos,Yes,Cartão de Crédito,84.65,5377.8,2.8216666666666668,Menor que 65 anos,Permaneceu
0015-UOCOJ,0,Feminino,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Mensal,Yes,Cheque Eletrônico,48.2,340.35,1.6066666666666667,Menor que 65 anos,Permaneceu
0016-QLJIS,0,Feminino,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Boleto Correio,90.45,5957.9,3.015,Menor que 65 anos,Permaneceu
0017-DINOC,0,Masculino,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,2 anos,No,Cartão de Crédito,45.2,2460.55,1.5066666666666668,Menor que 65 anos,Permaneceu
0017-IUDMW,0,Feminino,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Cartão de Crédito,116.8,8456.75,3.893333333333333,Menor que 65 anos,Permaneceu
0018-NYROU,0,Feminino,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Cheque Eletrônico,68.95,351.5,2.2983333333333333,Menor que 65 anos,Permaneceu
0019-EFAEP,0,Feminino,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,2 anos,Yes,Transferência Bancária,101.3,7261.25,3.3766666666666665,Menor que 65 anos,Permaneceu
0019-GFNTW,0,Feminino,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,2 anos,No,Transferência Bancária,45.05,2560.1,1.5016666666666665,Menor que 65 anos,Permaneceu
0020-INWCK,0,Feminino,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,2 anos,Yes,Cartão de Crédito,95.75,6849.4,3.191666666666667,Menor que 65 anos,Permaneceu
0020-JDNXP,0,Feminino,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,1 ano,No,Boleto Correio,61.25,1993.2,2.0416666666666665,Menor que 65 anos,Permaneceu
0021-IKXGC,0,Feminino,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Cheque Eletrônico,72.1,72.1,2.4033333333333333,Menor que 65 anos,Permaneceu
0022-TCJCI,1,Masculino,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,1 ano,No,Cartão de Crédito,62.7,2791.5,2.0900000000000003,Igual ou maior que 65 anos,Saiu
0023-HGHWL,1,Masculino,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Mensal,Yes,Cheque Eletrônico,25.1,25.1,0.8366666666666667,Igual ou maior que 65 anos,Saiu
0023-UYUPN,0,Feminino,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,No,Cheque Eletrônico,25.2,1306.3,0.84,Menor que 65 anos,Permaneceu
0023-XUOPT,1,Feminino,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Mensal,No,Cheque Eletrônico,94.1,1215.6,3.1366666666666663,Igual ou maior que 65 anos,Saiu
0027-KWYKW,0,Feminino,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Mensal,Yes,Cheque Eletrônico,83.75,1849.95,2.7916666666666665,Menor que 65 anos,Permaneceu
0030-FNXPP,0,Feminino,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Boleto Correio,19.85,57.2,0.6616666666666667,Menor que 65 anos,Permaneceu
0031-PVLZI,1,Feminino,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Boleto Correio,20.35,76.35,0.6783333333333333,Igual ou maior que 65 anos,Saiu
0032-PGELS,1,Feminino,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Mensal,No,Transferência Bancária,30.5,30.5,1.0166666666666666,Igual ou maior que 65 anos,Saiu
0036-IHMOT,0,Feminino,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1 ano,Yes,Transferência Bancária,103.7,5656.75,3.4566666666666666,Menor que 65 anos,Permaneceu
0040-HALCW,0,Masculino,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Cartão de Crédito,20.4,1090.6,0.6799999999999999,Menor que 65 anos,Permaneceu
0042-JVWOJ,0,Masculino,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,Yes,Transferência Bancária,19.6,471.85,0.6533333333333334,Menor que 65 anos,Permaneceu
0042-RLHYP,0,Feminino,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Transferência Bancária,19.7,1396.9,0.6566666666666666,Menor que 65 anos,Permaneceu
0048-LUMLS,0,Masculino,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,1 ano,No,Cartão de Crédito,91.2,3247.55,3.04,Menor que 65 anos,Permaneceu
0048-PIHNL,0,Feminino,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,No,Transferência Bancária,20.45,900.9,0.6816666666666666,Menor que 65 anos,Permaneceu
0052-DCKON,0,Masculino,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 ano,No,Transferência Bancária,115.8,7942.15,3.86,Menor que 65 anos,Permaneceu
0052-YNYOT,0,Feminino,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,No,Cheque Eletrônico,20.55,1343.4,0.685,Menor que 65 anos,Permaneceu
0056-EPFBG,0,Masculino,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,2 anos,Yes,Cartão de Crédito,39.4,825.4,1.3133333333333332,Menor que 65 anos,Permaneceu
0057-QBUQH,0,Feminino,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,Yes,Cheque Eletrônico,25.1,1070.15,0.8366666666666667,Menor que 65 anos,Permaneceu
0058-EVZWM,0,Feminino,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Mensal,Yes,Transferência Bancária,89.8,4959.6,2.993333333333333,Menor que 65 anos,Permaneceu
0060-FUALY,0,Feminino,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Mensal,Yes,Cheque Eletrônico,94.75,5597.65,3.158333333333333,Menor que 65 anos,Permaneceu
0064-SUDOG,0,Feminino,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Transferência Bancária,20.3,224.5,0.6766666666666666,Menor que 65 anos,Permaneceu
0064-YIJGF,0,Masculino,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Transferência Bancária,75.75,1929,2.525,Menor que 65 anos,Permaneceu
0067-DKWBL,1,Masculino,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Mensal,Yes,Cheque Eletrônico,49.25,91.1,1.6416666666666666,Igual ou maior que 65 anos,Saiu
0068-FIGTF,0,Feminino,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,1 ano,No,Boleto Correio,78.2,2078.95,2.606666666666667,Menor que 65 anos,Permaneceu
0071-NDAFP,0,Masculino,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Cartão de Crédito,25.5,630.6,0.85,Menor que 65 anos,Permaneceu
0074-HDKDG,0,Masculino,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,1 ano,Yes,Transferência Bancária,61.6,1611,2.0533333333333332,Menor que 65 anos,Permaneceu
0076-LVEPS,0,Masculino,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Mensal,Yes,Boleto Correio,45.0,1242.45,1.5,Menor que 65 anos,Permaneceu
0078-XZMHT,0,Masculino,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Transferência Bancária,85.15,6316.2,2.8383333333333334,Menor que 65 anos,Permaneceu
0080-EMYVY,0,Feminino,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,1 ano,No,Cartão de Crédito,51.45,727.85,1.715,Menor que 65 anos,Permaneceu
0080-OROZO,0,Feminino,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,1 ano,Yes,Cheque Eletrônico,99.25,3532,3.308333333333333,Menor que 65 anos,Permaneceu
0082-LDZUE,0,Masculino,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Mensal,Yes,Boleto Correio,44.3,44.3,1.4766666666666666,Menor que 65 anos,Permaneceu
0082-OQIQY,0,Masculino,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Mensal,Yes,Cheque Eletrônico,94.2,2607.6,3.14,Menor que 65 anos,Permaneceu
0083-PIVIK,0,Masculino,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,1 ano,No,Cheque Eletrônico,81.25,5567.55,2.7083333333333335,Menor que 65 anos,Permaneceu
0089-IIQKO,0,Feminino,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Mensal,Yes,Cartão de Crédito,99.95,3767.4,3.3316666666666666,Menor que 65 anos,Permaneceu
0093-EXYQL,0,Feminino,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Mensal,Yes,Cheque Eletrônico,91.55,3673.6,3.0516666666666667,Menor que 65 anos,Permaneceu
0093-XWZFY,1,Masculino,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Cartão de Crédito,104.5,4036.85,3.4833333333333334,Igual ou maior que 65 anos,Saiu
0094-OIFMO,1,Feminino,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Mensal,Yes,Cheque Eletrônico,95.0,1120.3,3.1666666666666665,Igual ou maior que 65 anos,Saiu
0096-BXERS,0,Feminino,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Mensal,No,Cheque Eletrônico,50.35,314.55,1.6783333333333335,Menor que 65 anos,Permaneceu
0096-FCPUF,0,Masculino,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Mensal,Yes,Boleto Correio,64.5,1888.45,2.15,Menor que 65 anos,Permaneceu
0098-BOWSO,0,Masculino,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,Yes,Cheque Eletrônico,19.4,529.8,0.6466666666666666,Menor que 65 anos,Permaneceu
0100-DUVFC,0,Masculino,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1 ano,Yes,Cheque Eletrônico,104.8,7308.95,3.493333333333333,Menor que 65 anos,Permaneceu
0103-CSITQ,0,Feminino,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1 ano,Yes,Transferência Bancária,109.4,6252.7,3.646666666666667,Menor que 65 anos,Permaneceu
0104-PPXDV,0,Masculino,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,1 ano,No,Cartão de Crédito,50.3,2878.55,1.6766666666666665,Menor que 65 anos,Permaneceu
0106-GHRQR,0,Masculino,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Mensal,Yes,Transferência Bancária,71.4,1212.1,2.3800000000000003,Menor que 65 anos,Permaneceu
